n,i,j,pstar,E,F3,F3_sign,S_minus,S_plus,slope_left,slope_right,certified_by
500,255,278,0.532957355086113,482.6891859178705,31.86294638103698,+,-0.2525908305606246,0.2310766706866791,-1.014772252991251,0.9283400874290979,double
500,255,279,0.5339582026658439,482.6916019427826,31.91642972536175,+,-0.009814115017667135,0.4716302711516848,-0.03943837502241876,1.895263248099428,double
500,256,278,0.5339540270777264,482.6916017961619,32.99804330789999,+,-0.4567107989207853,0.02729000184431396,-1.835306719630082,0.109665731316053,double
500,256,279,0.5349547839988549,482.694070540237,33.09064054680897,+,-0.2044847878787944,0.2791746569422924,-0.8219563379309138,1.122183126890694,double
500,257,279,0.535951335820843,482.6966294063135,34.2858097266589,+,-0.4075167774138776,0.07648796450452838,-1.638538343369532,0.3075418475830575,double
500,257,280,0.5369522153026143,482.6992419788836,34.3171930016893,+,-0.1563368039302162,0.3273140225591387,-0.6287815354961466,1.316446342257465,double
500,258,280,0.5379486468149876,482.7019439087484,35.57249902844819,+,-0.3582819170194899,0.1257269130125686,-1.441430885368574,0.5058213851426558,double
500,258,281,0.5389496491389242,482.7047004853138,35.54253616369402,+,-0.1081502984473945,0.3754913325028365,-0.4352423753887112,1.511135353693924,double
500,259,281,0.5399459601899433,482.707545561832,36.85804911212091,+,-0.3090095632817064,0.1750034885699207,-1.243978216452394,0.7045106477358172,double
500,259,282,0.5409470856501197,482.7104463253397,36.76660206785522,+,-0.05992870741494351,0.4237031345754846,-0.2413333693788851,1.706255807846766,double
500,260,282,0.5419432760762518,482.7134346382613,38.14239751352454,+,-0.2597031218837457,0.2243142714637555,-1.046174368054002,0.9036157882581695,double
500,260,283,0.542944524979415,482.7164797791517,37.9893223293069,+,-0.01167541584652977,0.4719460266292843,-0.04704873858563315,1.901813650604076,double
500,261,282,0.5429394606661079,482.7164795588783,39.52861060129351,+,-0.449181596247913,0.03326260179675367,-1.810076038110926,0.1340389699410107,double
500,261,283,0.5439405946053076,482.7196114251296,39.42548136029535,+,-0.2103660227529047,0.2736558169539194,-0.8480133860914646,1.103142954940497,double
500,262,283,0.5449366636401595,482.7227998554067,40.86978454351555,+,-0.3988127326484039,0.08365072998087941,-1.608241039168743,0.3373275873573386,double
500,262,284,0.5459379159093407,482.7260762240111,40.70723738045342,+,-0.1610015047220807,0.3230248706002317,-0.6494884604034514,1.303099161963269,double
500,263,284,0.5469338692017433,482.7294082718375,42.20971776409834,+,-0.3484174926896024,0.1340660107667346,-1.4060589705086,0.5410311509439757,double
500,263,285,0.5479352401215194,482.7328293510207,41.98760185295384,+,-0.1116130514712409,0.372417932310327,-0.4505936795238287,1.503490534739169,double
500,264,285,0.5489310774725545,482.7363051312876,43.54835191010079,+,-0.297999337221643,0.1845049696863589,-1.203523495048077,0.7451562410875684,double
500,264,286,0.5499325673759636,482.7398711369126,43.26651060137641,+,-0.06220500029070231,0.4218306475665373,-0.25132649160825,1.704319849052074,double
500,264,340,0.604637307024695,483.0487058351532,-232.5368319830357,-,-0.006489073086693252,2.288497988929637e-05,-0.02714513708095328,9.573261202184616e-05,double
